objectID,title,artistDisplayName,objectDate,classification,medium,department,primaryImage,primaryImageSmall,objectURL
13756,Sampler,Mary Waine,1795,,Silk embroidery on linen,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/197225.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/197225.jpg,https://www.metmuseum.org/art/collection/search/13756
13638,"Coverlet, Agriculture & Manufactures pattern",,1837,,"Wool and cotton, woven",The American Wing,https://images.metmuseum.org/CRDImages/ad/original/TP563.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/TP563.jpg,https://www.metmuseum.org/art/collection/search/13638
13863,George Washington Quilt,,about 1876,,Wholecloth printed cotton,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DT8212.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DT8212.jpg,https://www.metmuseum.org/art/collection/search/13863
12793,Mrs. Gabriel Manigault,Jeremiah Theus,1757,,Oil on canvas,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DP239228.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP239228.jpg,https://www.metmuseum.org/art/collection/search/12793
13875,"Quilt, Presentation pattern",Mary Hergenroder Simon,ca. 1849,,Cotton and silk velvet,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DT1825.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DT1825.jpg,https://www.metmuseum.org/art/collection/search/13875
13640,Coverlet,,ca. 1840–50,,"Wool, woven",The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DT5097.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DT5097.jpg,https://www.metmuseum.org/art/collection/search/13640
13576,Embroidered Carpet,Zeruah H. Guernsey Caswell,1832–35,,"Wool, embroidered in chain-stitch",The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DT823.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DT823.jpg,https://www.metmuseum.org/art/collection/search/13576
10956,Gilbert Stuart,Sarah Goodridge,ca. 1825,,Watercolor on ivory,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DP162116.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP162116.jpg,https://www.metmuseum.org/art/collection/search/10956
13607,Embroidered coverlet,Mary Breed,1770,,Linen and cotton with wool embroidered,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DT11599.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DT11599.jpg,https://www.metmuseum.org/art/collection/search/13607
14972,Decanter,"Bakewell, Page & Bakewell",ca. 1826–35,,Blown and cut glass; clay cameo,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DT188.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DT188.jpg,https://www.metmuseum.org/art/collection/search/14972
10810,Arcadia,Thomas Eakins,ca. 1883,,Oil on canvas,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DT221513.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DT221513.jpg,https://www.metmuseum.org/art/collection/search/10810
13565,Bed rug,N. L.,1796,,Wool embroidered with wool,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DT11600.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DT11600.jpg,https://www.metmuseum.org/art/collection/search/13565
