slug,status,face_count,info
Edgar_A._Poe_-_NARA_-_528345__cropped,embedded,1,
Edgar_Allan_Poe__circa_1849__restored__squared_off,embedded,1,
Wendell_Phillips_by_Brady,embedded,1,
Admiral_Farragut2,embedded,1,
Photograph_of_Gustave_Dor__by_Nadar__between_1856_and_1858,embedded,1,
Robert_Howlett__Isambard_Kingdom_Brunel_Standing_Before_the_Launching_Chains_of_the_Great_Eastern__The_Metropolitan_Muse,embedded,1,
Roger_Fenton_by_the_Photographic_Society_Club__1856,embedded,1,
Trapper_Seth_Kinman_seated_in_chair_with_rifle,embedded,1,
Marie_Brose_Tepe_carte_de_visite_LCCN_2021630920,embedded,1,
Mongkut__first_king_of_Siam_in_state_robes___cropped_and_restored,embedded,1,
Self-portrait_of_Nadar,embedded,1,
Captain_John_W._Tarleton_by_John_Jabez_Edwin_Mayall,embedded,1,
Daniel_Craig_McCallum_by_The_Brady_National_Photographic_Art_Gallery,embedded,1,
David_Dixon_Porter_-_Mathew_Brady_s_National_Photographic_Art_Gallery,embedded,1,
Jacques_Offenbach_by_Nadar,embedded,1,
Gen._Pierre_Gustave_Toutant_de_Beauregard__C.S.A_-_NARA_-_528596,embedded,1,
John_Milton_Brannan_by_the_Studio_of_Mathew_Brady_-_NPG_81_M465,embedded,1,
tienne_Carjat__Portrait_of_Charles_Baudelaire__circa_1862,embedded,1,
James_Birdseye_McPherson_c._1862_by_Barr___Young,embedded,1,
Felix_Nadar_in_the_basket_of_a_balloon__self-portrait__btv1b532323066,embedded,1,
Berlioz_Petit_BNF_Gallica,embedded,1,
Alfred_Waud_by_Timothy_H._O_Sullivan,embedded,1,
Sarah_Bernhardt__par_Nadar__1864,embedded,1,
George_Sand_by_Nadar__1864,embedded,1,
David_Livingstone_by_Thomas_Annan,embedded,1,
Joseph_Bazalgette_by_Lock___Whitfield,embedded,1,
George_N._Barnard_by_Mathew_Brady,embedded,1,
Composer_Rossini_G_1865_by_Carjat_-_Restoration,embedded,1,
William_Tecumseh_Sherman,embedded,1,
Julia_Margaret_Cameron_-_John_Herschel__Metropolitan_Museum_of_Art_copy__restored__levels,embedded,1,
Gaucho1868b,embedded,1,
Charles_Darwin_by_Julia_Margaret_Cameron__c._1868,embedded,1,
Photograph_of_Frederic_Edwin_Church_by_Napoleon_Sarony,embedded,1,
Louis_D_sir__Blanquart-Evrard_1869_photograph_BNF_Gallica,embedded,1,
Self-portrait_of_Jeremiah_Gurney,embedded,1,
Asher_B._Durand_by_Abraham_Bogardus,embedded,1,
Frederick_George_D_Utassy,embedded,1,
Giles_Alexander_Smith_by_the_Webster_Brothers,embedded,1,
Absalom_Baird__probably_by_the_Webster_Brothers,embedded,1,
Jasper_Francis_Cropsey_by_Napoleon_Sarony,embedded,1,
Sojourner_Truth__1870__cropped__restored,embedded,1,
Louisa_May_Alcott__c._1870_-_Warren_s_Portraits__Boston,embedded,1,
Victoria_Claflin_Woodhull_by_Mathew_Brady_-_Oval_Portrait,embedded,1,
Edmonia_Lewis_by_Henry_Rocher,embedded,1,
douard_Manet__en_buste__de_face_-_Nadar,embedded,1,
President_Rutherford_Hayes_1870_-_1880_Restored,embedded,1,
Lucretia_Mott__signed_photo__by_F._Gutekunst,embedded,1,
Naser_al-Din_Shah_Qajar__close_up__with_slight_smile_by_Nadar,embedded,1,
Atelier_Nadar_-_Jacques_Isnardon__Vaudeville,embedded,1,
Georges_Ernest_Boulanger_by_Atelier_Nadar,embedded,1,
Mar_chal_Canrobert_by_Nadar,embedded,1,
Victor_Hugo_by__tienne_Carjat_1876_-_full,embedded,1,
Pedro_II_of_Brazil_-_Brady-Handy,embedded,1,
Andrew_George_Scott__alias_Captain_Moonlite,embedded,1,
Blanche_Roosevelt_by_Mora,embedded,1,
Blanche_Roosevelt_by_Napoleon_Sarony,embedded,1,
Self-portrait_of_Abraham_Bogardus,embedded,1,
Karl_Marx_by_John_Jabez_Edwin_Mayall_1875_-_Restored,embedded,1,
Guzman_Blanco__Antonio__Gallica__Nadar,embedded,1,
Georgina_Weldon_by_Elliott___Fry,embedded,1,
Tom_Taylor_by_Lock_and_Whitfield,embedded,1,
Belva_Ann_Bennett_Lockwood,embedded,1,
Edward_Mitchell_Bannister_by_Gustine_L._Hurd,embedded,1,
Charles_Follen_McKim_by_Frances_Benjamin_Johnston,embedded,1,
James_Abram_Garfield__photo_portrait_seated,embedded,1,
Henry_Highland_Garnet_by_James_U._Stead,embedded,1,
A_Wilde_time_3,embedded,1,
