local_file,extracted_name,wikipedia_title,date,original_caption,image_url,file_page,download_status
images/Edgar_A._Poe_-_NARA_-_528345__cropped.jpg,Edgar Allan Poe,Edgar Allan Poe,before 1849,"Edgar Allan Poe, by Mathew Brady",https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Edgar_A._Poe_-_NARA_-_528345_%28cropped%29.jpg/800px-Edgar_A._Poe_-_NARA_-_528345_%28cropped%29.jpg,https://commons.wikimedia.org/wiki/File:Edgar_A._Poe_-_NARA_-_528345_(cropped).jpg,ok
images/Edgar_Allan_Poe__circa_1849__restored__squared_off.jpg,Edgar Allan Poe,Edgar Allan Poe,ca. 1849,Edgar Allan Poe,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Edgar_Allan_Poe%2C_circa_1849%2C_restored%2C_squared_off.jpg/800px-Edgar_Allan_Poe%2C_circa_1849%2C_restored%2C_squared_off.jpg,"https://commons.wikimedia.org/wiki/File:Edgar_Allan_Poe,_circa_1849,_restored,_squared_off.jpg",ok
images/Wendell_Phillips_by_Brady.jpg,Wendell Phillips,Wendell Phillips,1853-1860,Wendell Phillips by Brady,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Wendell_Phillips_by_Brady.jpg/800px-Wendell_Phillips_by_Brady.jpg,https://commons.wikimedia.org/wiki/File:Wendell_Phillips_by_Brady.jpg,ok
images/Admiral_Farragut2.jpg,David Farragut,David Farragut,1855-1865,Admiral David Farragut,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Admiral_Farragut2.jpg/800px-Admiral_Farragut2.jpg,https://commons.wikimedia.org/wiki/File:Admiral_Farragut2.jpg,ok
images/Photograph_of_Gustave_Dor__by_Nadar__between_1856_and_1858.jpg,Gustave Doré,Gustave Doré,,"Photograph of Gustave Doré by Nadar, between 1856 and 1858",https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Photograph_of_Gustave_Dor%C3%A9_by_Nadar%2C_between_1856_and_1858.jpg/800px-Photograph_of_Gustave_Dor%C3%A9_by_Nadar%2C_between_1856_and_1858.jpg,"https://commons.wikimedia.org/wiki/File:Photograph_of_Gustave_Dor%C3%A9_by_Nadar,_between_1856_and_1858.jpg",ok
images/Robert_Howlett__Isambard_Kingdom_Brunel_Standing_Before_cb0100cd.jpg,Isambard Kingdom Brunel,Isambard Kingdom Brunel,1857,"Isambard Kingdom Brunel standing before the launching chains of the SS Great Eastern, by Robert Howlett",https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Robert_Howlett_%28Isambard_Kingdom_Brunel_Standing_Before_the_Launching_Chains_of_the_Great_Eastern%29%2C_The_Metropolitan_Museum_of_Art_-_restoration1.jpg/800px-Robert_Howlett_%28Isambard_Kingdom_Brunel_Standing_Before_the_Launching_Chains_of_the_Great_Eastern%29%2C_The_Metropolitan_Museum_of_Art_-_restoration1.jpg,"https://commons.wikimedia.org/wiki/File:Robert_Howlett_(Isambard_Kingdom_Brunel_Standing_Before_the_Launching_Chains_of_the_Great_Eastern),_The_Metropolitan_Museum_of_Art_-_restoration1.jpg",ok
images/Roger_Fenton_by_the_Photographic_Society_Club__1856.jpg,Roger Fenton,Roger Fenton,,"Roger Fenton by the Photographic Society Club, 1856",https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Roger_Fenton_by_the_Photographic_Society_Club%2C_1856.jpg/800px-Roger_Fenton_by_the_Photographic_Society_Club%2C_1856.jpg,"https://commons.wikimedia.org/wiki/File:Roger_Fenton_by_the_Photographic_Society_Club,_1856.jpg",ok
images/Trapper_Seth_Kinman_seated_in_chair_with_rifle.jpg,Seth Kinman,Seth Kinman,,Trapper Seth Kinman seated in chair with rifle,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Trapper_Seth_Kinman_seated_in_chair_with_rifle.jpg/800px-Trapper_Seth_Kinman_seated_in_chair_with_rifle.jpg,https://commons.wikimedia.org/wiki/File:Trapper_Seth_Kinman_seated_in_chair_with_rifle.jpg,ok
images/Marie_Brose_Tepe_carte_de_visite_LCCN_2021630920.jpg,Marie Brose Tepe,Marie Tepe,,Marie Brose Tepe carte de visite LCCN 2021630920,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Marie_Brose_Tepe_carte_de_visite_LCCN_2021630920.jpg/800px-Marie_Brose_Tepe_carte_de_visite_LCCN_2021630920.jpg,https://commons.wikimedia.org/wiki/File:Marie_Brose_Tepe_carte_de_visite_LCCN_2021630920.jpg,ok
images/Mongkut__first_king_of_Siam_in_state_robes___cropped_an_69e873c9.jpg,Mongkut,Mongkut,,"Mongkut, first king of Siam in state robes – cropped and restored",https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Mongkut%2C_first_king_of_Siam_in_state_robes_%E2%80%93_cropped_and_restored.jpg/800px-Mongkut%2C_first_king_of_Siam_in_state_robes_%E2%80%93_cropped_and_restored.jpg,"https://commons.wikimedia.org/wiki/File:Mongkut,_first_king_of_Siam_in_state_robes_%E2%80%93_cropped_and_restored.jpg",ok
